Name	Title	Description	URL
pacific-immunology	Pacific Immunology	Pacific Immunology	https://www.pacificimmunology.com/
stephen-bell	Stephen Bell	Stephen Bell at Massachusetts Institute of Technology	https://biology.mit.edu/people/stephen_bell
susan-fisher	Susan Fisher	Susan Fisher at UCSF	http://fisherlab.ucsf.edu/
stephen-dalton	Stephen Dalton	Stephen Dalton at UGA	http://www.daltonlab.uga.edu/
jefferey-marks	Jefferey Marks	Jefferey Marks at Duke University	http://surgery.duke.edu/faculty/details/0098991
plasmid-repository	PlasmID Repository	PlasmID Repository at Harvard Medical School	https://plasmid.med.harvard.edu/PLASMID/Home.xhtml
jerrold-olefsky	Jerrold Olefsky	Jerrold M. Olefsky Lab at University of California, San Diego	http://endocrinology.ucsd.edu/Faculty/olefsky.html
wako	Wako Chemicals	Wako Chemicals	http://www.wakousa.com/
michael-mannstadt	Michael Mannstadt	Michael Mannstadt at Massachusetts General Hospital	http://www.massgeneral.org/cancer/doctors/doctor.aspx?ID=17826
stanford-cfc	Stanford CFC	Cystic Fibrosis Center at Stanford University (CFC)	http://cfcenter.stanford.edu/
icrc	ICRC	Islet Cell Resource Center	http://icr.coh.org/
usbio	USBio	United States Biological	https://www.usbio.net/
sdix	SDIX, LLC	SDIX, LLC	http://www.sdix.com/
callaini-giuliano	Callaini Guiliano	Callaini Guiliano at University of Siena	http://www.dbe.unisi.it/index.php?option=com_content&view=article&id=50&Itemid=75&lang=en
santa-cruz-biotech	Santa Cruz Biotech	Santa Cruz Biotechnology	http://www.scbt.com
sigma	Sigma	Sigma-Aldrich	http://www.sigmaaldrich.com
gregory-crawford	Gregory Crawford	Gregory Crawford at Duke University	http://www.genome.duke.edu/labs/crawford/
ran	RAN	Recombinant Antibody Network	http://recombinant-antibodies.org/
calvin-cotton	Calvin Cotton	Calvin Cotton at Case Western Reserve University	http://cf.case.edu/Cotton.html
thomas-gingeras	Thomas Gingeras	Thomas Gingeras at Cold Spring Harbor Laboratory	http://gingeraslab.cshl.edu/
aruna-biomedical	ArunA Biomedical	ArunA Biomedical	http://www.arunabiomedical.com/
james-thomson	James Thomson	James Thomson at Morgridge Institute, University of Wisconsin	http://discovery.wisc.edu/home/morgridge/about-morgridge/leadership/james-thomson/
cathy-savage-dunn	Cathy Savage-Dunn	Cathy Savage-Dunn at City University of New York	http://biology.qc.cuny.edu/people/faculty/cathy-savage-dunn/
epitomics	Epitomics	Epitomics	http://www.epitomics.com
aviva	Aviva	Aviva Systems Biology	http://www.avivasysbio.com
sescc	SESCC	Southeast Stem Cell Consortium	http://www.sestemcells.uga.edu/index.html
aviva-and-kevin-white	Aviva Systems Biology and Kevin White	Aviva Systems Biology and Kevin White at University of Chicago	http://www.avivasysbio.com/
bethyl-labs	Bethyl Labs	Bethyl Laboratories	http://www.bethyl.com
michael-snyder	Michael Snyder	Michael Snyder at Stanford University	http://snyderlab.stanford.edu
genetex	GeneTex	GeneTex	http://www.genetex.com
eric-lai	Eric Lai	Eric Lai at Memorial Sloan Kettering Cancer Center	https://www.mskcc.org/research-areas/labs/eric-lai
charles-graham	Charles Graham	Charles Graham at Queen's University	http://meds.queensu.ca/faculty/charles_graham
steven-henikoff	Steven Henikoff	Steven Henikoff at Fred Hutchinson Cancer Research Center	http://research.fhcrc.org/henikoff/en.html
william-kelly	William Kelly	William Kelly at Emory University	http://www.biology.emory.edu/research/Kelly/
rush-university	Rush University	Rush University Medical Center	http://www.rush.edu/
john-reinitz	John Reinitz	John Reinitz at University of Chicago	http://flyex.uchicago.edu/newlab/index.shtml
medimabs	Medimabs	Medimabs	https://www.medimabs.com/
axxora	Axxora	Axxora	http://www.axxora.com/
dana-levasseur	Dana Levasseur	Dana Levasseur at University of Iowa	http://www.int-med.uiowa.edu/Divisions/Immunology/Directory/DanaLevasseur.html
assay-biotech	Assay Biotech	Assay Biotechnology	http://www.assaybiotechnology.com/
shin-lin	Shin Lin	Shin Lin at Stanford	http://med.stanford.edu/profiles/Shin_Lin/
andrew-dingwall	Andrew Dingwall	Andrew Dingwall at Loyola University Chicago	http://www.stritch.luc.edu/oncology_institute/content/dingwall-lab
keith-ligon	Keith Ligon	Keith Ligon at Harvard	http://www.dfhcc.harvard.edu/membership/profile/member/582/0/
igor-zhimulev-and-harald-saumweber	Harald Saumweber	Igore Zhimulev at Russian Academy of Sciences and Harald Saumweber at Humboldt University Berlin	http://www2.hu-berlin.de/biologie/cytogen/
rainer-renkawitz	Rainer Renkawitz	Rainer Renkawitz at University of Giessen	http://www.uni-giessen.de/cms/fbz/fb08/Inst/biochem/international-networks/gradu/partners/renkawitz
evan-rosen	Evan Rosen	Evan Rosen at Beth Israel Deaconess Medical Center	http://www.bidmc.org/Research/Departments/Medicine/Divisions/Endocrinology/Laboratories/RosenLab/Members/EvanRosen.aspx
joanna-wysocka	Joanna Wysocka	Joanna Wysocka at Stanford University	http://stemcellphd.stanford.edu/faculty/joanna-wysocka.html
a-thomas-look	A. Thomas Look	A. Thomas Look at Dana-Farber Cancer Institute	http://researchers.dana-farber.org/directory/profile.asp?pict_id=0000129
jan-larsson	Jan Larsson	Jan Larsson at Umeå University	http://www.molbiol.umu.se/english/research/researchers/jan-larsson/
novartis-and-kevin-white	Novartis and Kevin White	Novartis and Kevin White at University of Chicago	http://www.us.novartis.com/
abgent	Abgent	Abgent	http://www.abgent.com/
kpbbb	KPBBB	Kathleen Price Bryan Brain Bank (KPBBB)	https://adrc.mc.duke.edu/index.php/research/brain-bank
christina-leslie	Christina Leslie	Christina Leslie Laboratory at Memorial Sloan-Kettering Cancer Center 	https://www.mskcc.org/research-areas/labs/christina-leslie
takemi-ohtsuki	Takemi Ohtsuki	Takemi Ohtsuki at Kawasaki Medical University	https://www.kawasaki-m.ac.jp/med/en/
norbert-perrimon	Norbert Perrimon	Norbert Perrimon at Harvard University	http://genepath.med.harvard.edu/~perrimon/
jeffrey-engelman	Jeffrey Engelman	Jeffrey Engelman at Massachusetts General Hospital	http://www.massgeneral.org/research/researchlab.aspx?id=1169
gerd-blobel	Gerd Blobel	Gerd Blobel at University of Pennsylvania	http://www.med.upenn.edu/apps/faculty/index.php/p1105
promocell	PromoCell	PromoCell GmbH	http://www.promocell.com
jean-antoine-lepesant	Jean-Antoine Lepseant	Jean-Antoine Lepseant at Inistitute Jacques Monod	http://www.academie-sciences.fr/academie/membre/Lepesant_JA.htm
biolegend	BioLegend	BioLegend	http://www.biolegend.com/
zenbio	ZenBio	ZenBio	http://www.zen-bio.com
todd-golub	Todd Golub	Todd Golub at Broad Institute CCLE	http://www.broadinstitute.org/ccle/home
woodring-wright	Woodring Wright	Woodring Wright at University of Texas Southwestern	http://profiles.utsouthwestern.edu/profile/18156/woodring-wright.html
karen-schulze-and-hugo-bellen	Karen Schulze and Hugo Bellen	Karen Schulze and Hugo Bellen at Baylor College of Medicine	http://flypush.imgen.bcm.tmc.edu/lab/index.html
victor-corces	Victor Corces	Victor Corces at Emory University	http://www.biology.emory.edu/research/Corces/
ken-cadigan	Ken Cadigan	Ken Cadigan at University of Michigan	http://labs.mcdb.lsa.umich.edu/labs/cadigan/
carl-mann	Carl Mann	Carl Mann at Commissariat à l'énergie atomique et aux énergies alternatives	http://www-dsv.cea.fr/en/institutes/institute-of-biology-and-technology-saclay-ibitec-s/units/integrative-biology-and-molecular-genetics-sbigem/oxidative-stress-and-cancer-lsoc/genome-stability-c.-mann
kirsten-hagstrom	Kirsten Hagstrom	Kirsten Hagstrom at University of Massachusetts	http://wheatoncollege.edu/faculty/profiles/kristen-hagstrom/
james-engel	James Engel	James Engel at University of Michigan	http://www.med.umich.edu/cdb/people/engel.html
crl	CRL	Charles River Laboratories	http://www.criver.com
maria-roubelakis	Maria Roubelakis	Maria Roubelakis at Biomedical Research Foundation Academy of Athens (BRFAA)	http://www.bioacademy.gr/
gordon-hager	Gordon Hager	Gordon Hager at the National Institutes of Health	http://ccr.cancer.gov/staff/staff.asp?profileid=5817
brian-oliver	Brian Oliver	Brian Oliver at NIH	http://www.niddk.nih.gov/about-niddk/staff-directory/intramural/brian-oliver/pages/research-summary.aspx
francesca-palladino	Francesca Palladino	Francesca Palladino at École normale supérieure de Lyon	http://www.ens-lyon.fr/LBMC/EpiDev/index.php/en/
leidos	LEIDOS		https://www.leidos.com/
pamela-geyer	Pamela Geyer	Pamela Geyer at University of Iowa	http://www.medicine.uiowa.edu/biochem/labs/geyer/
cdi	CDI	CDI Laboratories	http://www.cdi-lab.com/index.html
timothy-hughes	Timothy Hughes	Timothy Hughes at University of Toronto	http://hugheslab.med.utoronto.ca/
albert-la-spada	Albert La Spada	Albert La Spada at UCSD	http://laspadalab.ucsd.edu/Pages/default.aspx
giacomo-cavalli	Giacomo Cavalli	Giacomo Cavalli at Institute de Genetique Humaine	http://www.igh.cnrs.fr/equip/cavalli/link.pageAenglish.html
kevin-struhl	Kevin Struhl	Kevin Struhl at Harvard University	https://struhl.med.harvard.edu/
axiomx	AxioMx	AxioMx	http://www.axiomxinc.com/
tom-williams-and-sean-carroll	Tom Williams and Sean Carroll	Tom Williams and Sean Carroll at University of Wisconson at Madison	http://carroll.molbio.wisc.edu/
bioss	Bioss	Bioss Inc	http://biossusa.com/store/index.php
laszlo-tora	Laszlo Tora	Laszlo Tora at Institut de Génétique et de Biologie Moléculaire et Cellulaire	http://www.igbmc.fr/Tora/
david-gilbert	David Gilbert	David Gilbert at Florida State University	http://gilbertlab.bio.fsu.edu/
licia-selleri	Licia Selleri	Licia Selleri at Weill Cornell Medical College	http://www.cornellcelldevbiology.org/selleri/
diagenode	Diagenode	Diagenode	http://www.diagenode.com
bdsc	Bloomington Drosophila Stock Center at Indiana University	Bloomington Drosophila Stock Center at Indiana University	http://flystocks.bio.indiana.edu/
invitrogen	Invitrogen	Invitrogen	http://www.lifetechnologies.com/us/en/home/brands/invitrogen.html
cell-signaling	Cell Signaling	Cell Signaling Technology	http://www.cellsignal.com
pedro-caballero-campo	Pedro Caballero-Campo	Pedro Caballero-Campo at UCSF	http://directory.ucsf.edu/people_detail.jsp?FNO=Pedro.Caballero-Campo@ucsf.edu&retLink=1&school_code=all&last_name=&first_name=&offset=0
thom-kaufman	Thom Kaufman	Thom Kaufman at Indiana University	http://www.bio.indiana.edu/faculty/directory/profile.php?person=kaufman
chordoma	Chordoma	Chordoma Research Foundation	http://www.chordomafoundation.org/research/
jan-brinchmann	Jan Brinchmann	Jan Brinchmann at Rikshospitalet University Hospital	http://www.med.uio.no/imb/english/people/aca/ebrinch/
jennifer-brown	Jennifer Brown	Jennifer Brown at Harvard Medical School and Dana-Farber Cancer Institute	http://www.dfhcc.harvard.edu/membership/profile/member/669/0/
brenton-graveley	Brenton Graveley	University of Connecticut Health Center	http://graveleylab.cam.uchc.edu/Graveley/
national-bioresource-project	National Bioresource Project	This project is aimed to collect nematode bioresources available to researchers so that studies using the nematode are promoted.	http://shigen.nig.ac.jp/c.elegans/index.jsp
paul-yaswen	Paul Yaswen	Paul Yaswen at University of California, Berkeley	http://stemcellcenter.berkeley.edu/PIs/yaswen.html
unc-cf-center	UNC CF Center	UNC CF Center Tissue Procurement and Cell Culture Core	https://www.med.unc.edu/cfpulmcenter/core-facilities/tc
james-kadonaga	James Kadonaga	James Kadonaga at University of California San Diego	http://biology.ucsd.edu/faculty/kadonaga.html
rd-systems	RD Systems	R&D Systems	http://www.rndsystems.com
david-randolph	David Randolph	David Randolph at University of Alabama	http://138.26.61.118/depts/MEB/SOMResearchFaculty/currentfacultydata.asp?ID=DRDRDR
rajinder-kaul	Rajinder Kaul	Rajinder Kaul at University of Washington	http://depts.washington.edu/medgen/faculty/Rajinder_Kaul.shtml
marek-bartkuhn	Marek Bartkuhn	Marek Bartkuhn at University of Giessen	http://www.uni-giessen.de/cms/fbz/fb08/trr81/staff/bartkuhn
donna-arndt-jovin	Donna Arndt-Jovin	Donna Arndt-Jovin at Max Planck Institute for Biophysical Chemistry	http://www3.mpibpc.mpg.de/groups/jovin/index.php/ResearchGroups/CellBiologyDonnaArndt-Jovin/
max-reuter	Max Reuter	Max Reuter at University College London	http://www.homepages.ucl.ac.uk/~ucbtmre/Labsite/Home.html
michael-bender-and-rachel-byron	Michael Bender and Rachel Byron	Michael Bender and Rachel Byron at Fred Hutchinson Cancer Research Center	http://www.seattlechildrens.org/medical-staff/michael-a-bender/
dgrc	Drosophila Genomics Resource Center	Drosophila Genomics Resource Center	https://dgrc.cgb.indiana.edu/
dharmacon	Dharmacon	Dharmacon	http://dharmacon.gelifesciences.com/
arshad-desai	Arshad Desai	Arshad Desai at University of California San Diego	http://cmm.ucsd.edu/odlabweb/sites/
lurdes-queimado	Lurdes Queimado	Lurdes Queimado at University of Oklahoma	http://www.oumedicine.com/orl/academic-information/research/lurdes-queimado-m-d-ph-d-
susan-strome	Susan Strome	Susan Strome at University of California Santa Cruz	http://bio.research.ucsc.edu/people/strome/Site1/Home.html
arno-greenleaf	Arno Greenleaf	Arno Greenleaf at Duke University	http://www.biochem.duke.edu/modules/biochem_greenleaf_lab/index.php?id=1
john-stamatoyannopoulos	John Stamatoyannopoulos	John Stamatoyannopoulos at University of Washington	http://www.gs.washington.edu/faculty/stamj.htm
covance	Covance	Covance	https://store.crpinc.com
josh-chenoweth	Josh Chenoweth	Josh Chenoweth at National Institute of Neurological Disorders and Stroke (NINDS)	http://www.ninds.nih.gov/
russell-ryan	Russell Ryan	Russell Ryan at Massachusetts General Hospital	https://csb.mgh.harvard.edu/information/people_directories
genetivision	GenetiVision	GenetiVision	http://www.genetivision.com/
roche	Roche	Roche	http://www.roche.com
jack-greenblatt	Jack Greenblatt	Jack Greenblatt at University of Toronto	http://sites.utoronto.ca/greenblattlab/index.htm
alex-meissner	Alex Meissner	Alex Meissner at Harvard University	http://www.hsci.harvard.edu/people/alex-meissner-phd
coriell	Coriell	Coriell Institute for Medical Research	http://www.coriell.org/
darrell-bigner	Darrell Bigner	Darrell Bigner at Duke University	http://www.cancer.duke.edu/btc/modules/facultystaff1/index.php?id=85
hiroshi-kimura	Hiroshi Kimura	Hiroshi Kimura at Osaka University	http://www.fbs.osaka-u.ac.jp/labs/hiraoka/index.html
claude-desplan	Claude Desplan	Claude Desplan at New York University	http://www.nyu.edu/projects/desplan/
abcam	Abcam	Abcam	http://www.abcam.com
thomas-jenuwein	Thomas Jenuwein	Thomas Jenuwein at Max Planck Institute of Immunobiology and Epigenetics	http://www1.ie-freiburg.mpg.de/jenuwein
david-bodine	David Bodine	David Bodine at National Human Genome Research Institute	http://www.genome.gov/10000336
source-bioscience	Source BioScience LifeSciences	Source BioScience LifeSciences	http://www.lifesciences.sourcebioscience.com/
alla-grishok	Alla Grishok	Alla Grishok at Columbia University	http://biochemistry.hs.columbia.edu/faculty/grishok.html
cgc	CGC	The Caenorhabditis Genetics Center at the University of Minnesota	http://www.cbs.umn.edu/research/resources/cgc
dmitry-fyodorov	Dmitry Fyodorov	Dmitry Fyodorov at Albert Einstein College of Medicine	http://www.einstein.yu.edu/faculty/9626/dmitry-fyodorov/
gtex	GTEx	The GTEx Project	http://www.gtexportal.org/home/
barbara-wold	Barbara Wold	Barbara Wold at California Institute of Technology	http://woldlab.caltech.edu/
jun-liu	Jun Liu	Jun Liu at Cornell University	http://bmcb.cornell.edu/faculty/liu.html
michael-bender	Michael Bender	Michael Bender at Fred Hutchinson Cancer Research Center	http://www.seattlechildrens.org/medical-staff/michael-a-bender/
bd-biosciences	BD Biosciences	BD Biosciences	http://www.bdbiosciences.com
shelly-heimfeld	Shelly Heimfeld	Shelly Heimfeld at Fred Hutchison Cancer Research Center	https://labs.fhcrc.org/heimfeld/index.html
haplogen	Haplogen Genomics	Haplogen Genomics	http://www.haplogen.com/
pgp	PGP	Personal Genome Project	http://www.personalgenomes.org/
bacpac	BACPAC	BACPAC Resources Center at the Children's Hospital Oakland Research Institute	http://bacpac.chori.org/home.htm
